Hour,Device Category,Day of the month,City,Month of the year,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue
12,mobile,29,New York,10,30,40.00%,4.27,00:03:06,0,$0.00
12,mobile,09,New York,10,29,41.38%,4.10,00:02:39,1,$46.98
13,mobile,07,(not set),10,24,58.33%,3.00,00:02:41,0,$0.00
12,mobile,01,New York,10,23,39.13%,6.13,00:03:18,0,$0.00
18,mobile,08,(not set),10,23,34.78%,4.65,00:02:11,1,$78.97
08,mobile,04,New York,10,22,54.55%,3.18,00:01:42,0,$0.00
13,desktop,28,East Rutherford,10,22,86.36%,2.27,00:01:39,0,$0.00
14,mobile,30,Chicago,10,22,36.36%,3.73,00:03:00,0,$0.00
19,mobile,01,New York,10,22,40.91%,4.41,00:02:33,1,$51.99
09,mobile,23,New York,10,21,42.86%,2.38,00:02:12,0,$0.00
12,mobile,15,New York,10,21,38.10%,5.52,00:04:06,1,$73.97
12,mobile,22,New York,10,21,47.62%,4.71,00:03:46,0,$0.00
13,mobile,06,Dallas,10,21,38.10%,7.33,00:05:14,0,$0.00
17,mobile,28,New York,10,21,52.38%,2.71,00:01:42,0,$0.00
18,mobile,24,New York,10,21,28.57%,5.10,00:03:23,0,$0.00
12,mobile,10,New York,10,20,40.00%,3.55,00:02:33,1,$15.97
13,mobile,30,Dallas,10,20,20.00%,3.95,00:03:44,0,$0.00
15,mobile,07,Chicago,10,20,45.00%,3.60,00:03:08,0,$0.00
16,mobile,24,New York,10,20,25.00%,4.45,00:04:20,0,$0.00
18,mobile,12,Atlanta,10,20,50.00%,4.20,00:03:09,0,$0.00
19,mobile,03,New York,10,20,65.00%,1.90,00:00:29,0,$0.00
20,mobile,05,New York,10,20,30.00%,4.20,00:03:42,0,$0.00
20,mobile,08,New York,10,20,50.00%,7.25,00:02:05,0,$0.00
22,tablet,24,Camrose,10,20,65.00%,1.95,00:01:26,0,$0.00
02,tablet,06,(not set),10,19,73.68%,1.74,00:00:57,0,$0.00
10,mobile,02,New York,10,19,42.11%,3.47,00:01:33,0,$0.00
10,mobile,05,New York,10,19,52.63%,2.63,00:01:06,0,$0.00
11,mobile,29,New York,10,19,31.58%,5.05,00:02:30,0,$0.00
12,mobile,06,(not set),10,19,57.89%,2.32,00:02:47,0,$0.00
13,mobile,01,(not set),10,19,31.58%,5.79,00:05:09,0,$0.00
13,mobile,09,(not set),10,19,52.63%,3.89,00:03:07,0,$0.00
16,mobile,23,New York,10,19,36.84%,6.63,00:03:58,0,$0.00
17,mobile,22,New York,10,19,57.89%,7.63,00:08:01,0,$0.00
18,mobile,04,New York,10,19,52.63%,3.37,00:02:45,0,$0.00
19,mobile,07,New York,10,19,26.32%,5.26,00:03:46,0,$0.00
12,mobile,08,New York,10,18,33.33%,3.56,00:01:55,0,$0.00
13,mobile,16,New York,10,18,61.11%,1.89,00:00:35,0,$0.00
16,mobile,15,Chicago,10,18,50.00%,5.67,00:05:21,0,$0.00
18,mobile,09,New York,10,18,22.22%,7.06,00:03:35,0,$0.00
19,mobile,03,Chicago,10,18,38.89%,2.89,00:01:48,0,$0.00
19,mobile,04,New York,10,18,44.44%,5.33,00:03:32,0,$0.00
19,mobile,15,New York,10,18,50.00%,5.50,00:03:49,0,$0.00
20,mobile,18,New York,10,18,66.67%,2.94,00:00:31,0,$0.00
20,mobile,22,Chicago,10,18,38.89%,4.11,00:02:18,0,$0.00
21,mobile,06,New York,10,18,50.00%,4.33,00:03:14,0,$0.00
22,mobile,04,(not set),10,18,44.44%,3.94,00:04:23,0,$0.00
08,mobile,15,New York,10,17,47.06%,4.47,00:01:55,0,$0.00
08,mobile,30,Chicago,10,17,23.53%,4.88,00:05:57,0,$0.00
10,mobile,15,New York,10,17,52.94%,3.18,00:01:58,0,$0.00
11,mobile,07,(not set),10,17,58.82%,4.59,00:02:59,1,$43.97
13,mobile,01,Chicago,10,17,29.41%,4.35,00:02:56,0,$0.00
13,mobile,04,Atlanta,10,17,64.71%,4.76,00:00:50,0,$0.00
13,mobile,05,(not set),10,17,52.94%,2.59,00:02:35,0,$0.00
13,mobile,08,New York,10,17,35.29%,3.18,00:02:02,0,$0.00
13,mobile,09,New York,10,17,52.94%,3.06,00:01:15,0,$0.00
13,mobile,17,New York,10,17,58.82%,1.76,00:00:41,0,$0.00
14,mobile,05,New York,10,17,52.94%,2.88,00:03:41,0,$0.00
14,mobile,07,(not set),10,17,41.18%,2.94,00:02:55,0,$0.00
15,mobile,09,(not set),10,17,58.82%,3.65,00:01:32,0,$0.00
15,mobile,09,New York,10,17,47.06%,3.35,00:03:15,0,$0.00
15,mobile,29,New York,10,17,23.53%,8.71,00:06:07,0,$0.00
16,mobile,03,(not set),10,17,17.65%,4.35,00:09:48,0,$0.00
17,mobile,29,New York,10,17,35.29%,6.35,00:02:51,0,$0.00
18,mobile,03,New York,10,17,41.18%,3.76,00:01:15,1,$40.97
18,mobile,26,New York,10,17,29.41%,4.82,00:02:58,0,$0.00
18,mobile,29,New York,10,17,29.41%,7.88,00:06:38,1,$27.97
19,mobile,12,New York,10,17,29.41%,5.06,00:02:38,0,$0.00
19,mobile,16,New York,10,17,47.06%,3.53,00:03:02,0,$0.00
19,mobile,29,New York,10,17,17.65%,6.35,00:04:35,1,$72.80
20,mobile,01,New York,10,17,52.94%,4.00,00:01:37,0,$0.00
03,mobile,09,(not set),10,16,87.50%,1.12,00:00:04,0,$0.00
08,mobile,25,New York,10,16,43.75%,4.62,00:09:15,0,$0.00
09,mobile,15,New York,10,16,50.00%,3.69,00:02:01,0,$0.00
10,mobile,29,New York,10,16,43.75%,4.31,00:03:59,0,$0.00
11,mobile,01,New York,10,16,37.50%,5.06,00:16:28,0,$0.00
11,mobile,04,New York,10,16,43.75%,2.31,00:00:43,0,$0.00
11,mobile,07,New York,10,16,50.00%,3.25,00:02:38,0,$0.00
11,mobile,30,Dallas,10,16,50.00%,2.81,00:06:49,0,$0.00
12,mobile,01,(not set),10,16,56.25%,2.06,00:01:41,0,$0.00
12,mobile,23,Atlanta,10,16,50.00%,4.50,00:03:19,1,$78.99
12,mobile,25,Washington,10,16,31.25%,3.62,00:08:22,0,$0.00
12,mobile,25,New York,10,16,56.25%,4.50,00:01:46,0,$0.00
12,mobile,29,Chicago,10,16,31.25%,3.44,00:03:37,0,$0.00
13,mobile,03,Chicago,10,16,37.50%,3.94,00:02:17,0,$0.00
14,mobile,04,(not set),10,16,56.25%,6.25,00:03:12,1,$121.40
14,mobile,09,New York,10,16,62.50%,3.25,00:01:15,0,$0.00
14,mobile,29,New York,10,16,25.00%,8.88,00:08:42,1,$59.98
15,mobile,01,Chicago,10,16,18.75%,8.94,00:04:55,0,$0.00
15,mobile,17,New York,10,16,75.00%,2.69,00:01:42,0,$0.00
17,mobile,04,(not set),10,16,43.75%,3.94,00:02:17,0,$0.00
17,mobile,09,(not set),10,16,43.75%,5.19,00:05:23,0,$0.00
17,mobile,15,New York,10,16,37.50%,5.75,00:03:42,0,$0.00
17,mobile,23,(not set),10,16,50.00%,3.75,00:03:04,0,$0.00
18,mobile,03,(not set),10,16,43.75%,4.06,00:02:45,0,$0.00
18,mobile,04,Chicago,10,16,25.00%,4.25,00:03:45,0,$0.00
18,mobile,08,New York,10,16,43.75%,4.50,00:02:27,0,$0.00
18,mobile,15,New York,10,16,68.75%,3.38,00:01:34,0,$0.00
19,mobile,08,(not set),10,16,43.75%,4.56,00:02:37,0,$0.00
19,mobile,08,New York,10,16,50.00%,5.31,00:05:36,0,$0.00
19,mobile,12,Chicago,10,16,50.00%,2.88,00:01:31,0,$0.00
19,mobile,26,New York,10,16,37.50%,3.38,00:02:41,0,$0.00
19,mobile,28,New York,10,16,31.25%,3.38,00:02:17,0,$0.00
20,mobile,30,Chicago,10,16,18.75%,8.31,00:04:03,0,$0.00
20,mobile,30,New York,10,16,37.50%,5.25,00:04:47,0,$0.00
21,mobile,01,New York,10,16,37.50%,4.38,00:03:24,0,$0.00
22,mobile,08,(not set),10,16,56.25%,2.81,00:03:19,0,$0.00
07,mobile,30,Washington,10,15,46.67%,3.00,00:03:45,0,$0.00
08,mobile,21,New York,10,15,40.00%,4.47,00:01:55,0,$0.00
09,mobile,30,(not set),10,15,60.00%,2.87,00:00:19,0,$0.00
10,mobile,02,Chicago,10,15,40.00%,3.27,00:02:33,0,$0.00
10,mobile,12,New York,10,15,53.33%,2.80,00:01:16,0,$0.00
11,mobile,03,Atlanta,10,15,46.67%,3.07,00:02:34,0,$0.00
11,mobile,03,Chicago,10,15,66.67%,1.87,00:02:23,0,$0.00
